pop,sample,super_pop,gender,population_name
CLM,HG01136,AMR,male,colombian
CLM,HG01137,AMR,female,colombian
CLM,HG01139,AMR,male,colombian
CLM,HG01140,AMR,female,colombian
CLM,HG01142,AMR,male,colombian
CLM,HG01148,AMR,male,colombian
CLM,HG01149,AMR,female,colombian
CLM,HG01437,AMR,male,colombian
CLM,HG01281,AMR,female,colombian
CLM,HG01465,AMR,female,colombian
CLM,HG01344,AMR,male,colombian
CLM,HG01348,AMR,female,colombian
CLM,HG01350,AMR,male,colombian
CLM,HG01351,AMR,female,colombian
CLM,HG01353,AMR,male,colombian
CLM,HG01354,AMR,female,colombian
CLM,HG01356,AMR,male,colombian
CLM,HG01357,AMR,female,colombian
CLM,HG01550,AMR,male,colombian
CLM,HG01551,AMR,female,colombian
CLM,HG01556,AMR,male,colombian
CLM,HG01341,AMR,male,colombian
CLM,HG01342,AMR,female,colombian
CLM,HG01284,AMR,female,colombian
CLM,HG01345,AMR,female,colombian
CLM,HG01271,AMR,male,colombian
CLM,HG01272,AMR,female,colombian
CLM,HG01260,AMR,female,colombian
CLM,HG01269,AMR,female,colombian
CLM,HG01280,AMR,male,colombian
CLM,HG01362,AMR,male,colombian
CLM,HG01275,AMR,female,colombian
CLM,HG01277,AMR,male,colombian
CLM,HG01488,AMR,male,colombian
CLM,HG01375,AMR,female,colombian
CLM,HG01390,AMR,female,colombian
CLM,HG01435,AMR,female,colombian
CLM,HG01359,AMR,male,colombian
CLM,HG01360,AMR,female,colombian
CLM,HG01377,AMR,male,colombian
CLM,HG01378,AMR,female,colombian
CLM,HG01498,AMR,female,colombian
CLM,HG01383,AMR,male,colombian
CLM,HG01389,AMR,male,colombian
CLM,HG01432,AMR,female,colombian
CLM,HG01491,AMR,male,colombian
CLM,HG01384,AMR,female,colombian
CLM,HG01489,AMR,female,colombian
CLM,HG01497,AMR,male,colombian
CLM,HG01492,AMR,female,colombian
CLM,HG01431,AMR,male,colombian
CLM,HG01495,AMR,female,colombian
CLM,HG01494,AMR,male,colombian
ESN,HG02981,AFR,male,esan
ESN,HG02979,AFR,female,esan
ESN,HG03311,AFR,male,esan
ESN,HG03304,AFR,male,esan
ESN,HG03130,AFR,male,esan
ESN,HG03124,AFR,male,esan
ESN,HG03126,AFR,female,esan
ESN,HG02946,AFR,female,esan
ESN,HG03168,AFR,female,esan
ESN,HG03169,AFR,male,esan
ESN,HG03132,AFR,female,esan
ESN,HG03313,AFR,male,esan
ESN,HG03342,AFR,female,esan
ESN,HG03108,AFR,female,esan
ESN,HG03162,AFR,female,esan
ESN,HG03163,AFR,male,esan
ESN,HG03166,AFR,male,esan
ESN,HG03135,AFR,female,esan
ESN,HG03109,AFR,male,esan
ESN,HG03172,AFR,male,esan
ESN,HG03133,AFR,male,esan
ESN,HG02976,AFR,female,esan
ESN,HG02977,AFR,male,esan
ESN,HG03123,AFR,female,esan
ESN,HG02938,AFR,male,esan
ESN,HG02941,AFR,male,esan
ESN,HG02943,AFR,female,esan
ESN,HG02944,AFR,male,esan
ESN,HG03265,AFR,male,esan
ESN,HG03175,AFR,male,esan
ESN,HG03189,AFR,female,esan
ESN,HG03136,AFR,male,esan
ESN,HG03139,AFR,male,esan
ESN,HG02974,AFR,female,esan
ESN,HG03159,AFR,female,esan
ESN,HG03160,AFR,male,esan
ESN,HG03294,AFR,female,esan
ESN,HG03295,AFR,male,esan
ESN,HG03297,AFR,female,esan
ESN,HG03298,AFR,male,esan
ESN,HG03300,AFR,female,esan
ESN,HG03301,AFR,male,esan
ESN,HG02947,AFR,male,esan
ESN,HG02952,AFR,female,esan
ESN,HG03190,AFR,male,esan
ESN,HG03193,AFR,male,esan
ESN,HG03157,AFR,male,esan
ESN,HG03196,AFR,male,esan
